order,id,date,time,title,url,visitCount,typedCount,transition
0,165842,5/6/2024,20:33:39,Meet: gvr-vzyd-hft,https://meet.google.com/gvr-vzyd-hft,2,0,link
1,165842,5/6/2024,20:33:38,Meet: gvr-vzyd-hft,https://meet.google.com/gvr-vzyd-hft,2,0,auto_toplevel
2,165841,5/6/2024,20:27:23,Histórico Google | Google AI Studio,https://aistudio.google.com/app/prompts/1eiZ5IR9I53-r6-mZ6PO03nJ7txuCiJuN,1,0,link
3,165677,5/6/2024,20:26:02,Histórico Google | Google AI Studio,https://aistudio.google.com/app/prompts/new_chat,7,0,link
4,165840,5/6/2024,20:25:57,Untitled prompt | Google AI Studio,https://aistudio.google.com/app/prompts/new_data,1,0,link
5,165677,5/6/2024,20:25:54,Histórico Google | Google AI Studio,https://aistudio.google.com/app/prompts/new_chat,7,0,link
6,165839,5/6/2024,20:24:34,McAfee® WebAdvisor,chrome-extension://fheoggkfdfchfphceeifdbepaooicaho/html/foreground_sidebar_main.html,1,0,link
7,165838,5/6/2024,20:24:10,Quick Chrome History Export,https://chromewebstore.google.com/detail/quick-chrome-history-expo/hdfpifhfphhgjipcnfnolgalplokmmge,2,0,link
8,165838,5/6/2024,20:24:09,Quick Chrome History Export,https://chromewebstore.google.com/detail/quick-chrome-history-expo/hdfpifhfphhgjipcnfnolgalplokmmge,2,0,link
9,165834,5/6/2024,20:23:37,Gemini/README.md at main · MarogobaCTD/Gemini,https://github.com/MarogobaCTD/Gemini/blob/main/README.md,5,0,link
10,165821,5/6/2024,20:22:59,Editing Gemini/README.md at main · MarogobaCTD/Gemini,https://github.com/MarogobaCTD/Gemini/edit/main/README.md,3,0,link
11,165837,5/6/2024,20:22:56,MarogobaCTD/Gemini: Atividades desenvolvidas no Gemini participando da Imersão Alura,https://github.com/MarogobaCTD/Gemini/tree/main?tab=readme-ov-file,1,0,reload
12,165837,5/6/2024,20:22:50,MarogobaCTD/Gemini: Atividades desenvolvidas no Gemini participando da Imersão Alura,https://github.com/MarogobaCTD/Gemini/tree/main?tab=readme-ov-file,1,0,link
13,165835,5/6/2024,20:22:41,MarogobaCTD/Gemini: Atividades desenvolvidas no Gemini participando da Imersão Alura,https://github.com/MarogobaCTD/Gemini/tree/main,2,0,reload
14,165835,5/6/2024,20:22:35,MarogobaCTD/Gemini: Atividades desenvolvidas no Gemini participando da Imersão Alura,https://github.com/MarogobaCTD/Gemini/tree/main,2,0,reload
15,165835,5/6/2024,20:17:45,MarogobaCTD/Gemini: Atividades desenvolvidas no Gemini participando da Imersão Alura,https://github.com/MarogobaCTD/Gemini/tree/main,2,0,reload
16,165836,5/6/2024,20:17:39,Branches · MarogobaCTD/Gemini,https://github.com/MarogobaCTD/Gemini/branches,1,0,link
17,165835,5/6/2024,20:17:35,MarogobaCTD/Gemini: Atividades desenvolvidas no Gemini participando da Imersão Alura,https://github.com/MarogobaCTD/Gemini/tree/main,2,0,reload
18,165835,5/6/2024,20:16:30,MarogobaCTD/Gemini: Atividades desenvolvidas no Gemini participando da Imersão Alura,https://github.com/MarogobaCTD/Gemini/tree/main,2,0,link
19,165835,5/6/2024,20:16:30,MarogobaCTD/Gemini: Atividades desenvolvidas no Gemini participando da Imersão Alura,https://github.com/MarogobaCTD/Gemini/tree/main,2,0,link
20,165834,5/6/2024,20:16:30,Gemini/README.md at main · MarogobaCTD/Gemini,https://github.com/MarogobaCTD/Gemini/blob/main/README.md,5,0,link
21,165834,5/6/2024,20:16:25,Gemini/README.md at main · MarogobaCTD/Gemini,https://github.com/MarogobaCTD/Gemini/blob/main/README.md,5,0,link
22,165834,5/6/2024,20:16:25,Gemini/README.md at main · MarogobaCTD/Gemini,https://github.com/MarogobaCTD/Gemini/blob/main/README.md,5,0,link
23,165834,5/6/2024,20:16:25,Gemini/README.md at main · MarogobaCTD/Gemini,https://github.com/MarogobaCTD/Gemini/blob/main/README.md,5,0,link
24,165833,5/6/2024,20:13:39,Sentiment analysis | Google AI Studio,https://aistudio.google.com/app/prompts/sentiment-analysis-chat?hl=pt-br,2,0,link
25,165833,5/6/2024,20:13:36,Sentiment analysis | Google AI Studio,https://aistudio.google.com/app/prompts/sentiment-analysis-chat?hl=pt-br,2,0,link
26,165832,5/6/2024,20:13:35,"Exemplos de comandos, códigos e integrações  |  Google AI for Developers  |  Google for Developers",https://ai.google.dev/examples?keywords=prompt&hl=pt-br,2,0,link
27,165832,5/6/2024,20:13:22,"Exemplos de comandos, códigos e integrações  |  Google AI for Developers  |  Google for Developers",https://ai.google.dev/examples?keywords=prompt&hl=pt-br,2,0,link
